timestamp,cell_count,event_type
# vantage=relay_post_forward
# capture=multiprocess_paced path_len=4 n_sends=12 tau_secs=0.05 cover_secs=0.1 ports=[64419, 64420, 64421, 64422]
1784335213.462286,18,forward
1784335241.356549,18,forward
1784335243.803563,18,exit
1784335247.977073,18,cover
1784335252.754768,18,exit
1784335269.810864,18,cover
1784335269.817300,18,forward
1784335275.931404,18,cover
1784335275.937759,18,forward
1784335283.171324,18,cover
1784335291.303727,18,cover
1784335299.101875,18,cover
1784335306.900773,18,cover
1784335315.006988,18,cover
1784335322.608698,18,cover
1784335329.590159,18,cover
1784335337.246119,18,cover
1784335343.375163,18,cover
1784335343.389355,18,forward
1784335393.521422,18,forward
1784335393.561308,18,forward
1784335398.628836,18,forward
1784335411.619551,18,exit
1784335412.428206,18,forward
1784335414.580270,18,forward
1784335422.491475,18,exit
1784335425.057316,18,forward
1784335432.097986,18,exit
1784335439.519587,18,cover
1784335439.525652,18,forward
1784335443.870593,18,exit
